sku_id,brand_slug,vertical,url,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,M1,M2,M3,M4,M5,M6,M7,G1,G2,G3,G4,G5,G6,G7
bodydoctor,bodydoctor,medical_device,https://bodydoctor.co.kr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
easyk,easyk,medical_device,https://easyk.kr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
coway_therasol,coway_therasol,medical_device,https://www.coway.com/product/detail?prdno=1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ceragem_innerfit,ceragem_innerfit,medical_device,https://www.ceragemmall.co.kr/goods/goods_view.php?goodsNo=1000001039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
elvie,elvie,medical_device,https://www.elvie.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
perifit,perifit,medical_device,https://perifit.co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kegel8,kegel8,medical_device,https://www.kegel8.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kgoal,kgoal,medical_device,https://kgoal.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
peroneun,peroneun,medical_device,https://st365.co.kr/product/페로니언-케겔운동기/230/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
propolinse,propolinse,gargle,https://propolinse.co.kr,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
listerine,listerine,gargle,https://listerine.kr,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
garglin,garglin,gargle,https://dmall.co.kr/brands/garglin,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
perio,perio,gargle,https://www.lghnh.com,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
