page_id,F1_html,F1_html_idx,F2_jsonld,F2_jsonld_idx,F3_numeric,F3_numeric_idx,F4_cert_pos,F4_cert_pos_idx,F5_cert_detail,F5_cert_detail_idx,F6_evidence,F6_evidence_idx
page_001,TABLE,0,MedicalDevice-Full,0,Accurate,0,Top,0,Full,0,Clinical,0
page_002,TABLE,0,MedicalDevice-Full,0,Accurate,0,Top,0,Partial,1,Reviews,1
page_003,TABLE,0,MedicalDevice-Full,0,Accurate,0,Top,0,None,2,None,2
page_004,TABLE,0,Product-Minimal,1,Partial,1,Bottom,1,Full,0,Clinical,0
page_005,TABLE,0,Product-Minimal,1,Partial,1,Bottom,1,Partial,1,Reviews,1
page_006,TABLE,0,Product-Minimal,1,Partial,1,Bottom,1,None,2,None,2
page_007,TABLE,0,None,2,Ambiguous,2,None,2,Full,0,Clinical,0
page_008,TABLE,0,None,2,Ambiguous,2,None,2,Partial,1,Reviews,1
page_009,TABLE,0,None,2,Ambiguous,2,None,2,None,2,None,2
page_010,BULLET,1,MedicalDevice-Full,0,Partial,1,None,2,Full,0,Reviews,1
page_011,BULLET,1,MedicalDevice-Full,0,Partial,1,None,2,Partial,1,None,2
page_012,BULLET,1,MedicalDevice-Full,0,Partial,1,None,2,None,2,Clinical,0
page_013,BULLET,1,Product-Minimal,1,Ambiguous,2,Top,0,Full,0,Reviews,1
page_014,BULLET,1,Product-Minimal,1,Ambiguous,2,Top,0,Partial,1,None,2
page_015,BULLET,1,Product-Minimal,1,Ambiguous,2,Top,0,None,2,Clinical,0
page_016,BULLET,1,None,2,Accurate,0,Bottom,1,Full,0,Reviews,1
page_017,BULLET,1,None,2,Accurate,0,Bottom,1,Partial,1,None,2
page_018,BULLET,1,None,2,Accurate,0,Bottom,1,None,2,Clinical,0
page_019,PARAGRAPH,2,MedicalDevice-Full,0,Ambiguous,2,Bottom,1,Full,0,None,2
page_020,PARAGRAPH,2,MedicalDevice-Full,0,Ambiguous,2,Bottom,1,Partial,1,Clinical,0
page_021,PARAGRAPH,2,MedicalDevice-Full,0,Ambiguous,2,Bottom,1,None,2,Reviews,1
page_022,PARAGRAPH,2,Product-Minimal,1,Accurate,0,None,2,Full,0,None,2
page_023,PARAGRAPH,2,Product-Minimal,1,Accurate,0,None,2,Partial,1,Clinical,0
page_024,PARAGRAPH,2,Product-Minimal,1,Accurate,0,None,2,None,2,Reviews,1
page_025,PARAGRAPH,2,None,2,Partial,1,Top,0,Full,0,None,2
page_026,PARAGRAPH,2,None,2,Partial,1,Top,0,Partial,1,Clinical,0
page_027,PARAGRAPH,2,None,2,Partial,1,Top,0,None,2,Reviews,1
page_028,TABLE,0,None,2,Ambiguous,2,None,2,Partial,1,Reviews,1
page_029,PARAGRAPH,2,MedicalDevice-Full,0,Ambiguous,2,Bottom,1,Partial,1,Clinical,0
page_030,PARAGRAPH,2,Product-Minimal,1,Accurate,0,None,2,Partial,1,Clinical,0
page_031,PARAGRAPH,2,Product-Minimal,1,Accurate,0,None,2,Full,0,None,2
page_032,BULLET,1,None,2,Accurate,0,Bottom,1,None,2,Clinical,0
page_033,TABLE,0,Product-Minimal,1,Partial,1,Bottom,1,None,2,None,2
page_034,BULLET,1,None,2,Accurate,0,Bottom,1,Full,0,Reviews,1
page_035,PARAGRAPH,2,None,2,Partial,1,Top,0,None,2,Reviews,1
page_036,PARAGRAPH,2,MedicalDevice-Full,0,Ambiguous,2,Bottom,1,Full,0,None,2
page_037,BULLET,1,MedicalDevice-Full,0,Partial,1,None,2,Partial,1,None,2
page_038,BULLET,1,MedicalDevice-Full,0,Partial,1,None,2,Full,0,Reviews,1
page_039,TABLE,0,None,2,Ambiguous,2,None,2,Full,0,Clinical,0
page_040,BULLET,1,None,2,Accurate,0,Bottom,1,Partial,1,None,2
page_041,TABLE,0,Product-Minimal,1,Partial,1,Bottom,1,Full,0,Clinical,0
page_042,TABLE,0,MedicalDevice-Full,0,Accurate,0,Top,0,Full,0,Clinical,0
page_043,PARAGRAPH,2,Product-Minimal,1,Accurate,0,None,2,None,2,Reviews,1
page_044,PARAGRAPH,2,MedicalDevice-Full,0,Ambiguous,2,Bottom,1,None,2,Reviews,1
page_045,BULLET,1,Product-Minimal,1,Ambiguous,2,Top,0,Full,0,Reviews,1
page_046,BULLET,1,MedicalDevice-Full,0,Partial,1,None,2,None,2,Clinical,0
page_047,BULLET,1,Product-Minimal,1,Ambiguous,2,Top,0,None,2,Clinical,0
page_048,PARAGRAPH,2,None,2,Partial,1,Top,0,Partial,1,Clinical,0
page_049,TABLE,0,MedicalDevice-Full,0,Accurate,0,Top,0,None,2,None,2
page_050,TABLE,0,Product-Minimal,1,Partial,1,Bottom,1,Partial,1,Reviews,1
page_051,PARAGRAPH,2,None,2,Partial,1,Top,0,Full,0,None,2
page_052,TABLE,0,MedicalDevice-Full,0,Accurate,0,Top,0,Partial,1,Reviews,1
page_053,BULLET,1,Product-Minimal,1,Ambiguous,2,Top,0,Partial,1,None,2
page_054,TABLE,0,None,2,Ambiguous,2,None,2,None,2,None,2
